category,name
Plant Forward,Sorbet Berry Acai
Specialty Bakery,Ice Cream Cone
The Kitchen Table,Sweet Korean Flank Steak
The Kitchen Table,Toasted Spinach Orzo and Feta
Rotisserie,Roasted Potato Rissole
International Flavors,Stuffed Shells with Meat Sauce
The Griddle,Salsa
Specialty Bakery,Almond Croissant
Rotisserie,Rosemary Potatoes
International Flavors,Pesto Alfredo Chicken & Tortellini
Pizza,Loaded Pizza
Simply Prepared Grill,Seasoned Chicken Breast
Specialty Bakery,Cinnamon Rolls
Plant Forward,Vegan Blueberry Pancake
Nacho Bar,Beef Taco on Corn Tortilla
The Kitchen Table,Cracked Black Pepper Kettle Chips
Burritos & Bowls,Jalapeno Peppers
Specialty Bakery,Coconut Macaroon
The Kitchen Table,Deep Fried Plantains
Rotisserie,Crispy Catfish
Bakery,Vegan Coffee Cake
The Kitchen Table,Braised Cabbage and Apples
Rotisserie,Fried Chicken
Specialty Bakery,Bananas Foster Cheesecake
Specialty Bakery,Lemon Meringue Pie
International Flavors,Diced Green Peppers
Plant Forward,Roasted Fresh Asparagus
International Flavors,Diced Ham
Plant Forward,"Sauteed Artichokes, Peppers, and Onions"
Simply Prepared Grill,Roasted Fresh Asparagus
Homemade Soups,Cream of Broccoli Soup
Rotisserie,Cucumber Mint Raita
Simply Prepared Grill,BBQ Grilled Chicken
The Grill,Boneless Wing Station
Stress Less Cabinet,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies
The Grill,Peach BBQ Pork Panini
Rotisserie,Seasoned Black-Eyed Peas
International Flavors,Bell Peppers
Specialty Bakery,Cinnamon Churros
The Kitchen Table,Chicken Gravy
Rotisserie,Roasted Yellow Squash
Specialty Bakery,Angel Food Cake with Ganache and Berries
The Grill,Grilled Bratwurst Sandwich
Specialty Bakery,Fudgey Cream Cheese Brownies
The Kitchen Table,Sauteed Rosemary Mushrooms
Plant Forward,Seasoned Green Peas
Bakery,Vegan Chocolate Walnut Muffin
International Flavors,Chicken Alfredo Penne
Vegan Plant Forward,Bombay Aloo
The Kitchen Table,Steamed Corn on the Cob
Homemade Soups,Carrot Ginger Soup
The Grill,Carne Quesadilla
International Flavors,Beijing Beef
The Griddle,Grilled Portabello Reuben
The Kitchen Table,Honey BBQ Sauce
Nacho Bar,Pico Salsa
The Kitchen Table,Five Spice Salmon with Orange Glaze
Specialty Bakery,Pineapple Smoothie
Soup and Salads,Sundried Tomato Pasta Salad
Plant Forward,Green Onions
Specialty Bakery,Cruffins
International Flavors,Sundried Tomato Farfalle
Rotisserie,Masala Shrimp Potato
Specialty Bakery,Boston Cream Cupcake
Plant Forward,Farro White Bean Cakes
Pizza,Greek Pizza
Soup and Salads,"Beef, Mushroom, and Barley Soup"
The Kitchen Table,BBQ Baked Beans
Vegan Plant Forward,Green Coconut Curry
Plant Forward,Vegan Meatball Sandwich
Simply Prepared Grill,Sauteed Spinach
Rotisserie,Sauteed Seasoned Corn
Pasta Bar,Cavatappi Pasta
The Kitchen Table,Wild Rice Blend
Pasta,Pizza Stuffed Shells
Plant Forward,Kettle Chips
The Kitchen Table,Chef Mashed Potatoes
Rotisserie,Zesty Red Beans
Pizza,Ham and Pineapple Pizza
The Grill,Corn Dog
Rotisserie,Shrimp Fajitas
Chef's Corner,Italian Sausage
Rotisserie,Aloo Gobi
Rotisserie,Corn
Bakery,Zucchini Muffins
The Grill,Black Bean Beet Burger
The Griddle,Baby Spinach
Burritos & Bowls,Jalapeno Cabbage Slaw
Specialty Bakery,Nutella Blondie
International Flavors,Mango
Pizza,Peach Ricotta and Arugula Pizza
Rotisserie,Mojo Grilled Flank Steak
Specialty Bakery,Apricot Quick Bread
Burritos & Bowls,Monterey Jack Cheese
Nacho Bar,Seasoned Ground Turkey
Bakery,Banana Blueberry Muffin
Rotisserie,Roasted Chicken
Rotisserie,Ramen Noodles
Bakery,Vegan Red Velvet White Chocolate Chip Cookies
The Kitchen Table,Penne Pasta
Soup and Salads,Butternut Squash Soup
Specialty Bakery,Almond Financier
Soup and Salads,Hungarian Goulash Soup
Simply Prepared Grill,Baked Sweet Potato
Simply Prepared Grill,Baked Potato Wedges
Plant Forward,Refried Beans
The Kitchen Table,Country Chicken Gravy
International Flavors,Broccoli
Rotisserie,Coconut Shrimp with Pineapple Curry Sauce
Plant Forward,Vegan Fried Rice
The Kitchen Table,Crispy Shrimp Tacos
The Kitchen Table,Roasted Zucchini
International Flavors,Onion
Plant Forward,Green Coconut Curry
Plant Forward,Tofu Krab Cake
Rotisserie,Teriyaki Pepper Steak
Burritos & Bowls,Sliced Cucumber
The Grill,"Bacon, Egg, & Cheese Biscuit"
Specialty Bakery,Red Velvet Cupcake
Rotisserie,Hoisin Glazed Pork Chops
Vegan Plant Forward,Wasabi Ginger Mashed Potato
Bakery,Strawberry Cream Cheese Turnover
The Grill,Soft Pretzels
Specialty Bakery,Milk Bar Funfetti Cake
Bakery,Apple Cinnamon Scone
Rotisserie,Veggie Fried Rice and Chile Garlic Sauce
Vegan Plant Forward,Roasted Brussels Sprouts
Plant Forward,Sliced Cheddar Cheese
The Kitchen Table,White Rice Pilaf
Rotisserie,Seasoned Rotisserie Chicken
Plant Forward,Stewed Tomatoes
Wood Fired Pizza,Margherita Pizza
Rotisserie,Homestyle Mashed Potatoes
Specialty Bakery,Strawberry Poke Cake
The Kitchen Table,Cornbread Stuffing
The Kitchen Table,Simply Roasted Green Chili Corn
Create,Frozen Mango
Vegan Plant Forward,Seasoned Black Beans
The Kitchen Table,Scrambled Eggs
Bakery,Cherry Almond Muffin
Pizza,Strawberry Balsamic Goat Cheese Pizza
Vegan Plant Forward,Sun-Dried Tomato Pesto
Rotisserie,Honey Mustard Pork Loin
Rotisserie,Caramelized Apples
Specialty Bakery,Coconut Raspberry Bread Pudding
Rotisserie,Shrimp and Broccoli Stir- Fry
Plant Forward,Steamed Peas
The Kitchen Table,Seasoned Steamed Broccoli
Rotisserie,Indian- Spiced Cauliflower
Specialty Bakery,Salted Caramel Blondie
